WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,2.19,1018,dominicks,27234.84
1992-07-09,True,2.68,1018,dominicks,25016.0
1992-07-16,True,2.54,1018,dominicks,26542.32
1992-07-23,True,2.2,1018,dominicks,27234.84
1992-07-30,True,2.56,1018,dominicks,42869.68
1992-08-06,True,2.47,1018,dominicks,42869.68
1992-08-13,True,2.29,1018,dominicks,21797.16
1992-08-20,True,2.45,1018,dominicks,41550.76
1992-08-27,True,2.67,1018,dominicks,25016.0
1992-09-03,True,2.68,1018,dominicks,25016.0
1992-09-10,True,2.58,1018,dominicks,25885.04
1992-09-17,True,2.41,1018,dominicks,34817.56
1992-09-24,True,1.98,1018,dominicks,28719.68
1992-10-01,True,2.18,1018,dominicks,31926.960000000014
