WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,1.98,1028,tropicana,27203.992499115346
1992-07-09,True,2.63,1028,tropicana,37403.03889544657
1992-07-16,True,2.51,1028,tropicana,30919.725468896457
1992-07-23,True,2.25,1028,tropicana,35513.22460593091
1992-07-30,True,2.56,1028,tropicana,42698.15480875687
1992-08-06,True,2.62,1028,tropicana,35038.53193914769
1992-08-13,True,2.31,1028,tropicana,39491.665505770834
1992-08-20,True,2.61,1028,tropicana,45027.001548755754
1992-08-27,True,1.98,1028,tropicana,26717.72568939432
1992-09-03,True,2.38,1028,tropicana,38518.84845258979
1992-09-10,True,2.08,1028,tropicana,28254.442579133072
1992-09-17,True,2.59,1028,tropicana,40232.5021321719
1992-09-24,True,2.35,1028,tropicana,35979.35841972015
1992-10-01,True,2.39,1028,tropicana,38420.797955165115
